id,category,tag,price,price_original,dimensions,stock,name_es,name_en,desc_es,desc_en,image_url
cacao,colgante,new,35000,,Ø 30cm x 30cm alto,5,Cacao,Cacao,Lámpara colgante tejida a mano con hilos naturales y cálidos.,Hand-woven pendant lamp with natural and warm threads.,
fresia,colgante,new,35000,,Ø 20cm x 20cm alto,3,Fresia,Fresia,Lámpara colgante tejida a mano con hilos naturales y cálidos.,Hand-woven pendant lamp with natural and warm threads.,
gardenia,colgante,new,35000,,Ø 20cm x 20cm alto,2,Gardenia,Gardenia,Lámpara colgante tejida a mano con hilos naturales y cálidos.,Hand-woven pendant lamp with natural and warm threads.,
hortensia,colgante,new,35000,,Ø 30cm x 30cm alto,4,Hortensia,Hortensia,Lámpara colgante tejida a mano con hilos naturales y cálidos.,Hand-woven pendant lamp with natural and warm threads.,
kika,colgante,new,35000,,Ø 20cm x 20cm alto,1,Kika,Kika,Lámpara colgante tejida a mano con hilos naturales y cálidos.,Hand-woven pendant lamp with natural and warm threads.,
diamante,colgante,new,45000,50000,Ø 40cm x 35cm alto,2,Diamante,Diamond,"Lámpara colgante con forma de diamante, tejida en hilos crema y terracotta.","Diamond-shaped pendant lamp, woven in cream and terracotta threads.",
sage,mesa,popular,38000,,Alt. 25cm | Ø 15cm,8,Mesa Sage,Sage Table,"Lámpara de mesa en tonos sage y beige, perfecta para crear ambientes acogedores.","Sage and beige table lamp, perfect for creating cozy atmospheres.",
lavanda,pie,,120000,,Alt. 1.50m | Pantalla Ø 40cm,1,Pie Lavanda,Lavender Floor,"Lámpara de pie alta, envuelta en hilos lavanda y crema con luz dorada envolvente.","Tall floor lamp, wrapped in lavender and cream threads with enveloping golden light.",
geo,mesa,,42000,,30cm x 30cm x 30cm,3,Geo Ámbar,Geo Amber,Estructura geométrica con hilos amarillos y naturales. Un diseño que atrapa la luz.,Geometric structure with yellow and natural threads. A design that catches the light.,
cilindro,mesa,classic,35000,,Ø 20cm x 40cm alto,10,Cilindro Natural,Natural Cylinder,"Diseño clásico cilíndrico, tejido en fibras naturales con brillo dorado interior.","Classic cylindrical design, woven in natural fibers with golden interior shine.",
